txn_id,order_ref,amount,settlement_date,description,currency
pay_A00047,order_00047,20678.25,2026-08-23,Razorpay settlement | Cedar Homewares | order_00047,INR
pay_A00026,order_00026,17609.00,2026-08-10,Razorpay settlement | Orbit Mobility | order_00026,INR
pay_A00055,order_00055,31226.00,2026-08-27,Razorpay settlement | Summit Fitness | order_00055,INR
pay_A00004,order_00004,2202.00,2026-08-07,Razorpay settlement | Urban Grocery | order_00004,INR
pay_A00012,order_00012,30358.50,2026-08-05,Razorpay settlement | Cedar Homewares | order_00012,INR
pay_A00053,order_00053,15847.00,2026-08-23,Razorpay settlement | Kite Kids Wear | order_00053,INR
pay_A00048,order_00048,34169.25,2026-08-04,Razorpay settlement | Harbour Linens | order_00048,INR
pay_A00080,order_00073,8573.00,2026-08-16,Razorpay settlement | Kite Kids Wear | order_00073 | settled T+9,INR
pay_A00016,order_00016,15506.99,2026-08-05,Razorpay settlement | Leaf & Bean Cafe | order_00016,INR
pay_A00075,order_00068,8356.21,2026-08-08,Razorpay settlement | PixelForge Studio | order_00068,INR
pay_A00087,order_00080,5770.00,2026-08-03,Razorpay settlement | Summit Fitness | order_00080 | Aug cycle,INR
pay_A00074,order_00067,12747.04,2026-08-08,Razorpay settlement | Leaf & Bean Cafe | order_00067,INR
pay_A00023,order_00023,2353.99,2026-08-12,Razorpay settlement | MediQuick Pharmacy | order_00023,INR
pay_A00078,order_00071,16021.75,2026-08-15,Razorpay settlement | Nimbus Hosting | order_00071 | net of 2.36% fee,INR
pay_A00038,order_00038,42124.50,2026-08-20,Razorpay settlement | Maple Dental | order_00038,INR
pay_A00025,order_00025,43204.25,2026-08-14,Razorpay settlement | MediQuick Pharmacy | order_00025,INR
pay_A00015,order_00015,43586.00,2026-08-26,Razorpay settlement | Urban Grocery | order_00015,INR
pay_A00006,order_00006,42840.75,2026-08-19,Razorpay settlement | Cedar Homewares | order_00006,INR
pay_A00063,order_00059,1687.75,2026-08-22,Razorpay settlement | Cedar Homewares | order_00059 | duplicate capture,INR
pay_A00005,order_00005,39703.00,2026-08-18,Razorpay settlement | Kite Kids Wear | order_00005,INR
pay_A00061,order_00058,7535.25,2026-08-29,Razorpay settlement | PixelForge Studio | order_00058 | duplicate capture,INR
pay_A00082,order_00075,5738.00,2026-08-11,Razorpay settlement | Urban Grocery | order_00075 | settled T+9,INR
pay_A00030,order_00030,7435.00,2026-08-21,Razorpay settlement | Maple Dental | order_00030,INR
pay_A00084,order_00077,14272.00,2026-08-05,Razorpay settlement | Urban Grocery | order_00077 | net of refund 3568.00,INR
pay_A00058,order_00057,11596.25,2026-08-13,Razorpay settlement | Leaf & Bean Cafe | order_00057 | duplicate capture,INR
pay_A00021,order_00021,30544.25,2026-08-11,Razorpay settlement | Orbit Mobility | order_00021,INR
pay_A00003,order_00003,35991.00,2026-08-20,Razorpay settlement | Amber Books | order_00003,INR
pay_A00076,order_00069,3352.58,2026-08-14,Razorpay settlement | CloudStack SaaS | order_00069 | net of 2.00% fee,INR
pay_A00070,order_00063,7750.01,2026-08-14,Razorpay settlement | Kite Kids Wear | order_00063,INR
pay_A00060,order_00058,7535.25,2026-08-29,Razorpay settlement | PixelForge Studio | order_00058 | duplicate capture,INR
pay_A00066,order_00061,6559.50,2026-08-29,Razorpay settlement | Cedar Homewares | order_00061 | split 1/2 6559.50,INR
pay_A00064,order_00060,2089.60,2026-08-14,Razorpay settlement | Amber Books | order_00060 | split 1/2 2089.60,INR
pay_A00033,order_00033,36506.99,2026-08-01,Razorpay settlement | BrightPath Tuition | order_00033,INR
pay_A00044,order_00044,8491.00,2026-08-23,Razorpay settlement | Volt Auto Parts | order_00044,INR
pay_A00037,order_00037,11958.50,2026-08-05,Razorpay settlement | Volt Auto Parts | order_00037,INR
pay_A00022,order_00022,45116.00,2026-08-27,Razorpay settlement | MediQuick Pharmacy | order_00022,INR
pay_A00014,order_00014,23950.50,2026-08-07,Razorpay settlement | Indigo Travel | order_00014,INR
pay_A00062,order_00059,1687.75,2026-08-22,Razorpay settlement | Cedar Homewares | order_00059 | duplicate capture,INR
