batch,gt_group,taxonomy,source_a_ids,source_b_ids,expected_behavior,injection_notes
1,GT-0001,CLEAN,pay_A00001,led_B00001,Stage 1 exact match on order_ref + amount + date window.,identical amount 7546.00; settlement lag 1d
1,GT-0002,CLEAN,pay_A00002,led_B00002,Stage 1 exact match on order_ref + amount + date window.,identical amount 14878.00; settlement lag 0d
1,GT-0003,CLEAN,pay_A00003,led_B00003,Stage 1 exact match on order_ref + amount + date window.,identical amount 35991.00; settlement lag 1d
1,GT-0004,CLEAN,pay_A00004,led_B00004,Stage 1 exact match on order_ref + amount + date window.,identical amount 2202.00; settlement lag 0d
1,GT-0005,CLEAN,pay_A00005,led_B00005,Stage 1 exact match on order_ref + amount + date window.,identical amount 39703.00; settlement lag 0d
1,GT-0006,CLEAN,pay_A00006,led_B00006,Stage 1 exact match on order_ref + amount + date window.,identical amount 42840.75; settlement lag 1d
1,GT-0007,CLEAN,pay_A00007,led_B00007,Stage 1 exact match on order_ref + amount + date window.,identical amount 29689.50; settlement lag 0d
1,GT-0008,CLEAN,pay_A00008,led_B00008,Stage 1 exact match on order_ref + amount + date window.,identical amount 10713.75; settlement lag 1d
1,GT-0009,CLEAN,pay_A00009,led_B00009,Stage 1 exact match on order_ref + amount + date window.,identical amount 10439.00; settlement lag 1d
1,GT-0010,CLEAN,pay_A00010,led_B00010,Stage 1 exact match on order_ref + amount + date window.,identical amount 6328.25; settlement lag 1d
1,GT-0011,CLEAN,pay_A00011,led_B00011,Stage 1 exact match on order_ref + amount + date window.,identical amount 22791.50; settlement lag 0d
1,GT-0012,CLEAN,pay_A00012,led_B00012,Stage 1 exact match on order_ref + amount + date window.,identical amount 30358.50; settlement lag 1d
1,GT-0013,CLEAN,pay_A00013,led_B00013,Stage 1 exact match on order_ref + amount + date window.,identical amount 36428.00; settlement lag 2d
1,GT-0014,CLEAN,pay_A00014,led_B00014,Stage 1 exact match on order_ref + amount + date window.,identical amount 23950.50; settlement lag 0d
1,GT-0015,CLEAN,pay_A00015,led_B00015,Stage 1 exact match on order_ref + amount + date window.,identical amount 43586.00; settlement lag 1d
1,GT-0016,CLEAN,pay_A00016,led_B00016,Stage 1 exact match on order_ref + amount + date window.,identical amount 15506.99; settlement lag 1d
1,GT-0017,CLEAN,pay_A00017,led_B00017,Stage 1 exact match on order_ref + amount + date window.,identical amount 29964.75; settlement lag 1d
1,GT-0018,CLEAN,pay_A00018,led_B00018,Stage 1 exact match on order_ref + amount + date window.,identical amount 24510.00; settlement lag 1d
1,GT-0019,CLEAN,pay_A00019,led_B00019,Stage 1 exact match on order_ref + amount + date window.,identical amount 45046.75; settlement lag 2d
1,GT-0020,CLEAN,pay_A00020,led_B00020,Stage 1 exact match on order_ref + amount + date window.,identical amount 11465.50; settlement lag 0d
1,GT-0021,CLEAN,pay_A00021,led_B00021,Stage 1 exact match on order_ref + amount + date window.,identical amount 30544.25; settlement lag 2d
1,GT-0022,CLEAN,pay_A00022,led_B00022,Stage 1 exact match on order_ref + amount + date window.,identical amount 45116.00; settlement lag 0d
1,GT-0023,CLEAN,pay_A00023,led_B00023,Stage 1 exact match on order_ref + amount + date window.,identical amount 2353.99; settlement lag 1d
1,GT-0024,CLEAN,pay_A00024,led_B00024,Stage 1 exact match on order_ref + amount + date window.,identical amount 4587.00; settlement lag 1d
1,GT-0025,CLEAN,pay_A00025,led_B00025,Stage 1 exact match on order_ref + amount + date window.,identical amount 43204.25; settlement lag 1d
1,GT-0026,CLEAN,pay_A00026,led_B00026,Stage 1 exact match on order_ref + amount + date window.,identical amount 17609.00; settlement lag 2d
1,GT-0027,CLEAN,pay_A00027,led_B00027,Stage 1 exact match on order_ref + amount + date window.,identical amount 17469.75; settlement lag 1d
1,GT-0028,CLEAN,pay_A00028,led_B00028,Stage 1 exact match on order_ref + amount + date window.,identical amount 38492.25; settlement lag 0d
